,issue_date,contact_1_name,latitude,longitude
827,2023-03-18,R.BUSTAMANTE ELECTRIC INC.,41.896848221,-87.665332423
828,2006-05-31,"QUANTUM CROSSINGS, LLC",41.893558226,-87.624074088
829,2006-05-31,"QUANTUM CROSSINGS, LLC",41.893047804,-87.636476507
830,2006-05-31,"QUANTUM CROSSINGS, LLC",41.893352438,-87.625566988
831,2006-05-31,"QUANTUM CROSSINGS, LLC",41.893251246,-87.622791844
832,2006-05-31,"QUANTUM CROSSINGS, LLC",41.892501167,-87.628242738
833,2006-05-31,"QUANTUM CROSSINGS, LLC",41.893658478,-87.634270381
835,2007-07-07,"QUANTUM CROSSINGS, LLC",41.897483081,-87.623457036
836,2006-05-31,"QUANTUM CROSSINGS, LLC",41.897651538,-87.626728956
838,2006-05-31,"QUANTUM CROSSINGS, LLC",41.872375122,-87.639511518
839,2006-05-31,"QUANTUM CROSSINGS, LLC",41.872046162,-87.643962648
840,2006-05-24,"GARZA ELECTRICAL, INC.",41.846324158,-87.696698829
841,2007-07-07,"QUANTUM CROSSINGS, LLC",41.871850375,-87.647166465
842,2006-05-24,S.A.F. ELECTRIC,41.730385652,-87.662758644
843,2006-06-20,COMMERICAL LIGHT COMPANY,41.79918638,-87.698897347
844,2006-05-31,"QUANTUM CROSSINGS, LLC",41.872823362,-87.633444605
847,2006-05-24,"ELEKTRA INTERNATIONAL, LTD.",41.952638096,-87.801479747
848,2006-05-31,"QUANTUM CROSSINGS, LLC",41.876953377,-87.647063465
850,2023-03-19,A.D.A. ELECTRIC SERVICE,41.965585902,-87.694247485
851,2006-05-24,CATTANEO ELECTRIC COMPANY,41.780476471,-87.771447793
856,2006-06-02,ELECTRICAL SERVICES GROUP INC.,41.891424393,-87.752744151
859,2006-07-03,SHARLEN ELECTRIC COMPANY,41.702582282,-87.526940175
865,2006-05-24,"GARZA ELECTRICAL, INC.",41.846324158,-87.696698829
867,2006-05-24,NESKO ELECTRIC COMPANY,41.838788273,-87.659938421
870,2006-06-09,"ALERT PROTECTIVE SERVICES, INC",41.940442878,-87.672768466
871,2023-03-18,WAYNE'S ELECTRIC,41.704564318,-87.612620903
876,2006-05-24,WILLIAM WARE,41.778567047,-87.657973493
877,2006-06-05,CONTINENTAL ELECTRICAL CONSTRU,41.888074281,-87.634955203
882,2006-05-31,CONTINENTAL ELECTRICAL CONSTRU,41.974633803,-87.698452446
885,2006-05-24,WALCOR ELECTRIC INC.,41.801502233,-87.58492214
892,2006-05-31,"QUANTUM CROSSINGS, LLC",41.885663892,-87.615625008
893,2006-05-31,"QUANTUM CROSSINGS, LLC",41.885663892,-87.615625008
895,2006-05-31,"QUANTUM CROSSINGS, LLC",41.887338559,-87.625951223
898,2006-05-31,"QUANTUM CROSSINGS, LLC",41.887705379,-87.620588144
899,2022-07-23,ROBERT MAY ELECTRIC,41.847321227,-87.71502028
904,2006-05-24,G.L.S. ELECTRIC CO.,41.997265336,-87.8098162
905,2006-05-31,"QUANTUM CROSSINGS, LLC",41.886709989,-87.634935102
908,2006-01-13,APEX ELECTRICAL ENGINEERING CO,41.969505361,-87.708360987
909,2006-05-31,"QUANTUM CROSSINGS, LLC",41.882700355,-87.63663756
912,2006-05-31,"QUANTUM CROSSINGS, LLC",41.882700355,-87.63663756
913,2006-05-31,"QUANTUM CROSSINGS, LLC",41.877791648,-87.636524344
916,2006-05-31,"QUANTUM CROSSINGS, LLC",41.881072725,-87.636597984
921,2006-05-31,"QUANTUM CROSSINGS, LLC",41.880334099,-87.636580238
923,2006-05-31,"QUANTUM CROSSINGS, LLC",41.887999887,-87.622565133
925,2006-05-31,"QUANTUM CROSSINGS, LLC",41.887999887,-87.622565133
926,2006-05-31,"QUANTUM CROSSINGS, LLC",41.887790172,-87.621278713
935,2006-05-31,"QUANTUM CROSSINGS, LLC",41.900432775,-87.634192866
936,2006-05-31,"QUANTUM CROSSINGS, LLC",41.90003788,-87.628145847
938,2008-11-19,"PHILLIPS ELECTRIC, INC.",41.870881086,-87.639460286
939,2006-01-13,MARON ELECTRONIC SWITCHING SYS,41.887874848,-87.630884851
940,2006-05-31,"QUANTUM CROSSINGS, LLC",41.882380741,-87.624228631
941,2006-05-31,"QUANTUM CROSSINGS, LLC",41.883320327,-87.634157241
942,2006-05-31,"QUANTUM CROSSINGS, LLC",41.901551566,-87.634537445
949,2006-06-16,SONAR ELECTRICAL CONSTRUCTION,41.983802096,-87.65613163
950,2006-06-20,A.D.T. INC.,41.865691262,-87.765304384
955,2006-06-01,DCL ELECTYRIC CORP,41.972729878,-87.764414637
958,2006-05-26,"QUANTUM CROSSINGS, LLC",41.800137062,-87.72350873
961,2006-06-02,OTIS ELEVATOR CO.,41.852939607,-87.633607481
962,2007-07-07,J.M. ELECTRIC,41.891245231,-87.72214838
965,2006-06-20,A.D.T. INC.,41.76845491,-87.664038433
966,2006-05-31,"QUANTUM CROSSINGS, LLC",41.804325922,-87.704012636
971,2006-05-25,ICON IDENTITY SOLUTIONS,41.995197027,-87.689947407
972,2006-05-25,J & M ELECTRIC,41.7833958,-87.68390217
973,2006-05-25,J & M ELECTRIC,41.7833958,-87.68390217
974,2006-05-25,J & M ELECTRIC,41.7833958,-87.68390217
975,2006-06-20,A.D.T. INC.,41.888621865,-87.684331228
977,2006-05-30,"NATIONAL SIGNS, INC.",41.872035217,-87.686040525
983,2006-05-25,D.C.L. ELECTRIC,41.886014858,-87.770108584
986,2006-05-25,A TO Z ELECTRIC,41.806404994,-87.612454791
991,2006-05-25,MARON ELECTRIC COMPANY,41.882093008,-87.630412687
992,2006-05-25,"ALL-RIGHT SIGN, INC.",41.998700569,-87.660242771
